ZIP,City,County,Territory,,,,,,
80001,Arvada,Jefferson,North,,,,,,
80002,Arvada,Jefferson,North,,,,,,
80003,Arvada,Jefferson,North,,,,,,
80004,Arvada,Jefferson,North,,,,,,
80005,Arvada,Jefferson,North,,,,,,
80006,Arvada,Jefferson,North,,,,,,
80007,Arvada,Jefferson,North,,,,,,
80010,Aurora,Arapahoe,North,,,,,,
80011,Aurora,Adams,North,,,,,,
80012,Aurora,Arapahoe,North,,,,,,
80013,Aurora,Arapahoe,North,,,,,,
80016,Aurora,Arapahoe,North,,,,,,
80017,Aurora,Arapahoe,North,,,,,,
80018,Aurora,Arapahoe,North,,,,,,
80019,Aurora,Adams,North,,,,,,
80020,Broomfield,Broomfield,North,,,,,,
80021,Broomfield,Jefferson,North,,,,,,
80022,Commerce City,Adams,North,,,,,,
80023,Broomfield,Broomfield,North,,,,,,
80024,Dupont,Adams,North,,,,,,
80025,Eldorado Springs,Boulder,North,,,,,,
80026,Lafayette,Boulder,North,,,,,,
80027,Louisville,Boulder,North,,,,,,
80030,Westminster,Adams,North,,,,,,
80031,Westminster,Adams,North,,,,,,
80034,Wheat Ridge,Jefferson,North,,,,,,
80035,Westminster,Adams,North,,,,,,
80036,Westminster,Adams,North,,,,,,
80037,Commerce City,Adams,North,,,,,,
80038,Broomfield,Broomfield,North,,,,,,
80040,Aurora,Adams,North,,,,,,
80041,Aurora,Arapahoe,North,,,,,,
80042,Aurora,Adams,North,,,,,,
80044,Aurora,Arapahoe,North,,,,,,
80045,Aurora,Adams,North,,,,,,
80046,Aurora,Arapahoe,North,,,,,,
80047,Aurora,Arapahoe,North,,,,,,
80101,Agate,Elbert,North,,,,,,
80103,Byers,Arapahoe,North,,,,,,
80105,Deer Trail,Arapahoe,North,,,,,,
80130,Littleton,Douglas,North,,,,,,
80134,Parker,Douglas,North,,,,,,
80136,Strasburg,Adams,North,,,,,,
80138,Parker,Douglas,North,,,,,,
80150,Englewood,Arapahoe,North,,,,,,
80151,Englewood,Arapahoe,North,,,,,,
80155,Englewood,Arapahoe,North,,,,,,
80160,Littleton,Arapahoe,North,,,,,,
80161,Littleton,Arapahoe,North,,,,,,
80162,Littleton,Jefferson,North,,,,,,
